Fecha,Provincia,Consumo energético (kWh/m²),Media de residentes,Potencia contratada (kW),Tipo de vivienda,TMEDIA,TMIN,TMAX,VELMEDIA,SOL,PRESMAX,PRESMIN
2014-04,LUGO,214.14,3.2,6.4,Piso,12.602484848484847,7.869060606060605,17.33739393939394,2.1714444444444445,4.946666666666667,966.2533333333333,961.76
2014-04,LUGO,344.0,3.6,5.5,Adosado,12.602484848484847,7.869060606060605,17.33739393939394,2.1714444444444445,4.946666666666667,966.2533333333333,961.76
2014-04,LUGO,407.04,4.9,5.7,Duplex,12.602484848484847,7.869060606060605,17.33739393939394,2.1714444444444445,4.946666666666667,966.2533333333333,961.76
2014-04,LUGO,520.73,3.8,4.4,Casa Unifamiliar,12.602484848484847,7.869060606060605,17.33739393939394,2.1714444444444445,4.946666666666667,966.2533333333333,961.76
2014-05,LUGO,251.34,4.8,6.2,Piso,12.976304985337244,7.329237536656892,18.626011730205278,2.1546236559139786,7.251612903225807,968.2645161290322,964.3129032258065
2014-05,LUGO,326.74,4.1,5.1,Adosado,12.976304985337244,7.329237536656892,18.626011730205278,2.1546236559139786,7.251612903225807,968.2645161290322,964.3129032258065
2014-05,LUGO,446.28,3.3,6.3,Duplex,12.976304985337244,7.329237536656892,18.626011730205278,2.1546236559139786,7.251612903225807,968.2645161290322,964.3129032258065
2014-05,LUGO,574.41,3.7,4.9,Casa Unifamiliar,12.976304985337244,7.329237536656892,18.626011730205278,2.1546236559139786,7.251612903225807,968.2645161290322,964.3129032258065
2014-06,LUGO,224.28,4.7,4.7,Piso,16.778181818181817,11.126969696969697,22.433333333333334,2.071111111111111,7.966666666666667,967.8866666666667,964.4699999999999
2014-06,LUGO,317.77,3.0,4.2,Adosado,16.778181818181817,11.126969696969697,22.433333333333334,2.071111111111111,7.966666666666667,967.8866666666667,964.4699999999999
2014-06,LUGO,450.0,3.9,5.6,Duplex,16.778181818181817,11.126969696969697,22.433333333333334,2.071111111111111,7.966666666666667,967.8866666666667,964.4699999999999
